did,tsne_x,tsne_y
tensor(83),18.436192,-11.907468
tensor(96),-52.072334,-17.549255
tensor(3),-7.9111576,-42.353428
tensor(37),61.600822,15.232037
tensor(9),69.519936,-0.42340755
tensor(75),-35.92443,21.10184
tensor(75),-40.576485,19.30155
tensor(7),-15.629583,22.580084
tensor(66),-2.1789517,12.108841
tensor(66),17.91834,31.58538
tensor(83),3.6131842,-21.428782
tensor(9),68.35908,-2.6826332
tensor(23),-19.246445,-4.149172
tensor(90),16.491589,12.932903
tensor(12),-42.5903,-9.3771715
tensor(62),27.989265,56.95841
tensor(75),-9.962159,-4.4907427
tensor(96),-57.218082,-16.724289
tensor(73),-15.996372,16.40138
tensor(75),-14.738883,-7.973577
tensor(14),24.33355,-48.622158
tensor(14),25.886255,-48.82629
tensor(97),-0.39423767,22.906244
tensor(97),2.2432775,29.322092
tensor(17),-52.208954,-4.031429
tensor(94),-9.983402,-15.029622
tensor(65),-27.204262,-5.459504
tensor(96),-56.669815,-16.914148
tensor(66),18.551216,34.286
tensor(87),7.414652,5.792126
tensor(62),29.7894,49.11633
tensor(12),-45.76081,1.6557484
tensor(87),3.1340623,4.7502556
tensor(1),1.2233273,25.08225
tensor(75),-37.752632,20.857687
tensor(3),-12.552413,-44.311142
tensor(11),-40.22647,36.64432
tensor(12),-49.719696,3.852761
tensor(83),2.453921,-21.197725
tensor(0),-42.07756,-30.06942
tensor(22),-12.794361,39.11906
tensor(72),0.23368065,17.119476
tensor(86),56.91546,27.739851
tensor(86),56.10088,26.957863
tensor(22),-7.9873433,52.171577
tensor(90),19.474436,17.895176
tensor(83),17.541883,-14.832466
tensor(11),-21.68664,0.56029654
tensor(72),-3.560719,27.69147
tensor(22),-14.4528,20.617315
tensor(37),61.97101,16.720648
tensor(2),-57.439907,-21.616732
tensor(86),55.497356,23.905846
tensor(93),52.759617,-47.58229
tensor(73),-14.745441,24.1486
tensor(62),12.932154,3.7458546
tensor(62),28.622656,52.283314
tensor(72),0.17547213,16.821238
tensor(14),29.724895,-50.472717
tensor(23),-24.944462,5.8903775
tensor(72),0.30622062,47.373867
tensor(64),-45.46709,8.476841
tensor(12),-50.008743,3.9350142
tensor(87),29.22431,24.085493
tensor(5),23.160154,-16.808403
tensor(4),-57.766155,23.564018
tensor(16),33.180145,11.51991
