sigma,cand_num,run_id,ss_len,ss_mean,ss_var,ss_min,ss_max,cs_len,cs_mean,cs_var,cs_min,cs_max
0.01,64,5,101,5.443127765289374,0.004762155906237015,5.389506726076742,5.64054278737484,101,0.10459639713971398,1.8466827946545882e-09,0.10416666666666667,0.10460069444444445
0.01,64,6,101,5.469742176460911,0.0008380394832696927,5.437155213125632,5.628003740702276,101,0.10450615374037403,3.209534697109677e-08,0.10416666666666667,0.10460069444444445
0.01,64,7,101,5.468840654340628,0.0014986285448799006,5.447155213125633,5.591002044686707,101,0.10459639713971398,1.8466827946545882e-09,0.10416666666666667,0.10460069444444445
0.01,64,8,101,5.5214425647889,0.0008053287472728751,5.49175981419962,5.597326879361271,101,0.10460069444444445,0.0,0.10460069444444445,0.10460069444444445
0.01,64,9,101,5.491883044717109,0.004539378043870266,5.380488955140857,5.694742570025099,101,0.10460069444444445,0.0,0.10460069444444445,0.10460069444444445
0.01,128,0,101,5.479346410117259,0.0011346993325709405,5.437155213125632,5.591681249916136,101,0.10416666666666664,7.703719777548943e-34,0.10416666666666667,0.10416666666666667
0.01,128,1,101,5.377268450170133,0.005524552113040357,5.2909450961180635,5.441266798863905,101,0.10460069444444445,0.0,0.10460069444444445,0.10460069444444445
0.01,128,2,101,5.294823696553906,0.0015043541340905202,5.2909450961180635,5.682683740137994,101,0.10460069444444445,0.0,0.10460069444444445,0.10460069444444445
0.01,128,3,101,5.498925179309159,0.0007272489308561472,5.4788130158411255,5.537487679503425,101,0.10440301842684269,4.6721074704761114e-08,0.10416666666666667,0.10460069444444445
0.01,128,4,101,5.455774308461376,0.001320650328082095,5.437155213125632,5.52670419545469,101,0.10416666666666664,7.703719777548943e-34,0.10416666666666667,0.10416666666666667
0.01,128,5,101,5.282433429808617,0.0002215137174434784,5.280945096118063,5.431266798863905,101,0.10416666666666664,7.703719777548943e-34,0.10416666666666667,0.10416666666666667
0.01,128,6,101,5.4639194173428525,0.0034094835774198893,5.389506726076742,5.6853323487598155,101,0.10460069444444445,0.0,0.10460069444444445,0.10460069444444445
0.01,128,7,101,5.392091241535139,0.000667972015469315,5.389506726076742,5.650542787374841,101,0.10460069444444445,0.0,0.10460069444444445,0.10460069444444445
0.01,128,8,101,5.473847366063392,0.0001747138766705613,5.472027984082658,5.58732687936127,101,0.10416666666666664,7.703719777548943e-34,0.10416666666666667,0.10416666666666667
0.01,128,9,101,5.648872588469473,6.47013457089033e-05,5.64781187208804,5.724067961380678,101,0.10459639713971398,1.8466827946545882e-09,0.10416666666666667,0.10460069444444445
0.1,16,0,11,5.268729157756354,0.1652403397269707,4.551173392743407,5.715454742923805,11,0.10460069444444446,3.425092943322086e-08,0.10416666666666667,0.10503472222222222
0.1,16,1,4,5.381443000311098,0.1074718479435389,4.818045397180667,5.635900098227769,4,0.1044921875,1.2951132691936638e-07,0.10416666666666667,0.10503472222222222
0.1,16,2,51,8.310422394351413,11.985059232952793,5.2229254710233635,14.182704675963116,51,0.40670104847494554,0.08003381475299891,0.10460069444444445,0.7799479166666666
0.1,16,3,53,6.217100610335474,4.453434162557533,4.91672491285323,13.561630728356127,53,0.14786425576519915,0.00829129665674142,0.10460069444444445,0.4353298611111111
0.1,16,4,49,10.556683326624936,16.407343462888925,5.416412783252967,18.852617683975073,49,0.45890022675736963,0.08030984179578034,0.10416666666666667,0.8064236111111112
0.1,16,5,6,5.009363173344625,0.37105649409426783,4.3414974754658235,5.6933671606810075,6,0.10460069444444443,1.925929944387236e-34,0.10460069444444445,0.10460069444444445
0.1,16,6,6,5.480607226931748,0.010929373549991314,5.379506726076741,5.687363857933795,6,0.10423900462962964,2.616390442815482e-08,0.10416666666666667,0.10460069444444445
