开始 sweep 相场物理参数（并行=1）
Sweep: phy_weight × phy_alpha × phy_beta
启动任务: phy_weight=0.001 phy_alpha=0.5 phy_beta=0.5
Experiment name: VAEv12_MDN_lat=16_K=16_beta=0.001_warm=0.1_gamma=0.001_warm=0.1_phy_weight=0.001_phy_alpha=0.5_phy_beta=0.5scale=0.5_time=20260123_095021
[Epoch 0597] beta=0.001 gamma=0.001 | Train total=-0.0178 | Val total=-0.0178 | Val ctr_nll=-22.2346 | Val ctr_mse=0.020567 | Val conf=0.487
[Epoch 0598] beta=0.001 gamma=0.001 | Train total=-0.0183 | Val total=-0.0163 | Val ctr_nll=-20.8142 | Val ctr_mse=0.018986 | Val conf=0.485
[Epoch 0599] beta=0.001 gamma=0.001 | Train total=-0.0172 | Val total=-0.0153 | Val ctr_nll=-19.5357 | Val ctr_mse=0.023333 | Val conf=0.467
[Epoch 0600] beta=0.001 gamma=0.001 | Train total=-0.0171 | Val total=-0.0153 | Val ctr_nll=-19.6085 | Val ctr_mse=0.022131 | Val conf=0.495
[Epoch 0601] beta=0.001 gamma=0.001 | Train total=-0.0176 | Val total=-0.0176 | Val ctr_nll=-21.9177 | Val ctr_mse=0.020651 | Val conf=0.466
[Epoch 0602] beta=0.001 gamma=0.001 | Train total=-0.0186 | Val total=-0.0181 | Val ctr_nll=-22.4416 | Val ctr_mse=0.020727 | Val conf=0.479
[Epoch 0603] beta=0.001 gamma=0.001 | Train total=-0.0174 | Val total=-0.0161 | Val ctr_nll=-20.2186 | Val ctr_mse=0.021078 | Val conf=0.487
[Epoch 0604] beta=0.001 gamma=0.001 | Train total=-0.0159 | Val total=-0.0159 | Val ctr_nll=-20.2660 | Val ctr_mse=0.023116 | Val conf=0.487
[Epoch 0605] beta=0.001 gamma=0.001 | Train total=-0.0178 | Val total=-0.0144 | Val ctr_nll=-18.8774 | Val ctr_mse=0.021402 | Val conf=0.492
[Epoch 0606] beta=0.001 gamma=0.001 | Train total=-0.0176 | Val total=-0.0178 | Val ctr_nll=-22.1192 | Val ctr_mse=0.021488 | Val conf=0.470
[Epoch 0607] beta=0.001 gamma=0.001 | Train total=-0.0185 | Val total=-0.0171 | Val ctr_nll=-21.4272 | Val ctr_mse=0.020615 | Val conf=0.507
[Epoch 0608] beta=0.001 gamma=0.001 | Train total=-0.0190 | Val total=-0.0162 | Val ctr_nll=-21.0926 | Val ctr_mse=0.021926 | Val conf=0.510
[Epoch 0609] beta=0.001 gamma=0.001 | Train total=-0.0171 | Val total=-0.0166 | Val ctr_nll=-20.9856 | Val ctr_mse=0.022272 | Val conf=0.494
[Epoch 0610] beta=0.001 gamma=0.001 | Train total=-0.0173 | Val total=-0.0132 | Val ctr_nll=-17.5893 | Val ctr_mse=0.024380 | Val conf=0.494
[Epoch 0611] beta=0.001 gamma=0.001 | Train total=-0.0176 | Val total=-0.0109 | Val ctr_nll=-15.4921 | Val ctr_mse=0.026181 | Val conf=0.504
[Epoch 0612] beta=0.001 gamma=0.001 | Train total=-0.0176 | Val total=-0.0101 | Val ctr_nll=-14.4142 | Val ctr_mse=0.024659 | Val conf=0.470
[Epoch 0613] beta=0.001 gamma=0.001 | Train total=-0.0175 | Val total=-0.0173 | Val ctr_nll=-21.8481 | Val ctr_mse=0.021415 | Val conf=0.451
[Epoch 0614] beta=0.001 gamma=0.001 | Train total=-0.0184 | Val total=-0.0177 | Val ctr_nll=-21.9324 | Val ctr_mse=0.020776 | Val conf=0.487
[Epoch 0615] beta=0.001 gamma=0.001 | Train total=-0.0194 | Val total=-0.0180 | Val ctr_nll=-22.3903 | Val ctr_mse=0.019752 | Val conf=0.486
[Epoch 0616] beta=0.001 gamma=0.001 | Train total=-0.0168 | Val total=-0.0147 | Val ctr_nll=-19.1953 | Val ctr_mse=0.021783 | Val conf=0.488
[Epoch 0617] beta=0.001 gamma=0.001 | Train total=-0.0176 | Val total=-0.0171 | Val ctr_nll=-21.4629 | Val ctr_mse=0.020100 | Val conf=0.499
[Epoch 0618] beta=0.001 gamma=0.001 | Train total=-0.0182 | Val total=-0.0176 | Val ctr_nll=-21.8790 | Val ctr_mse=0.021501 | Val conf=0.504
[Epoch 0619] beta=0.001 gamma=0.001 | Train total=-0.0172 | Val total=-0.0150 | Val ctr_nll=-19.4922 | Val ctr_mse=0.021761 | Val conf=0.476
[Epoch 0620] beta=0.001 gamma=0.001 | Train total=-0.0177 | Val total=-0.0186 | Val ctr_nll=-22.9841 | Val ctr_mse=0.020953 | Val conf=0.477
[Epoch 0621] beta=0.001 gamma=0.001 | Train total=-0.0185 | Val total=-0.0132 | Val ctr_nll=-17.8046 | Val ctr_mse=0.023907 | Val conf=0.521
[Epoch 0622] beta=0.001 gamma=0.001 | Train total=-0.0171 | Val total=-0.0175 | Val ctr_nll=-21.7884 | Val ctr_mse=0.020868 | Val conf=0.496
[Epoch 0623] beta=0.001 gamma=0.001 | Train total=-0.0168 | Val total=-0.0172 | Val ctr_nll=-21.4777 | Val ctr_mse=0.021897 | Val conf=0.473
[Epoch 0624] beta=0.001 gamma=0.001 | Train total=-0.0164 | Val total=-0.0187 | Val ctr_nll=-22.9670 | Val ctr_mse=0.020682 | Val conf=0.474
[Epoch 0625] beta=0.001 gamma=0.001 | Train total=-0.0179 | Val total=-0.0138 | Val ctr_nll=-18.0237 | Val ctr_mse=0.027174 | Val conf=0.451
[Epoch 0626] beta=0.001 gamma=0.001 | Train total=-0.0179 | Val total=-0.0163 | Val ctr_nll=-20.6926 | Val ctr_mse=0.022822 | Val conf=0.470
[Epoch 0627] beta=0.001 gamma=0.001 | Train total=-0.0184 | Val total=-0.0186 | Val ctr_nll=-22.9232 | Val ctr_mse=0.020609 | Val conf=0.499
[Epoch 0628] beta=0.001 gamma=0.001 | Train total=-0.0197 | Val total=-0.0201 | Val ctr_nll=-24.4538 | Val ctr_mse=0.019594 | Val conf=0.463
[Epoch 0629] beta=0.001 gamma=0.001 | Train total=-0.0204 | Val total=-0.0164 | Val ctr_nll=-21.0800 | Val ctr_mse=0.020363 | Val conf=0.490
[Epoch 0630] beta=0.001 gamma=0.001 | Train total=-0.0190 | Val total=-0.0186 | Val ctr_nll=-22.9307 | Val ctr_mse=0.021794 | Val conf=0.489
[Epoch 0631] beta=0.001 gamma=0.001 | Train total=-0.0192 | Val total=-0.0185 | Val ctr_nll=-22.8914 | Val ctr_mse=0.023055 | Val conf=0.463
[Epoch 0632] beta=0.001 gamma=0.001 | Train total=-0.0210 | Val total=-0.0192 | Val ctr_nll=-23.6766 | Val ctr_mse=0.019980 | Val conf=0.472
[Epoch 0633] beta=0.001 gamma=0.001 | Train total=-0.0206 | Val total=-0.0209 | Val ctr_nll=-25.3561 | Val ctr_mse=0.018970 | Val conf=0.470
[Epoch 0634] beta=0.001 gamma=0.001 | Train total=-0.0213 | Val total=-0.0203 | Val ctr_nll=-24.7369 | Val ctr_mse=0.018710 | Val conf=0.452
[Epoch 0635] beta=0.001 gamma=0.001 | Train total=-0.0165 | Val total=-0.0011 | Val ctr_nll=-5.1114 | Val ctr_mse=0.041463 | Val conf=0.390
[Epoch 0636] beta=0.001 gamma=0.001 | Train total=-0.0096 | Val total=-0.0097 | Val ctr_nll=-13.4306 | Val ctr_mse=0.029999 | Val conf=0.412
[Epoch 0637] beta=0.001 gamma=0.001 | Train total=-0.0134 | Val total=-0.0135 | Val ctr_nll=-17.3423 | Val ctr_mse=0.027347 | Val conf=0.396
[Epoch 0638] beta=0.001 gamma=0.001 | Train total=-0.0168 | Val total=-0.0174 | Val ctr_nll=-21.2891 | Val ctr_mse=0.021243 | Val conf=0.438
[Epoch 0639] beta=0.001 gamma=0.001 | Train total=-0.0178 | Val total=-0.0160 | Val ctr_nll=-20.3566 | Val ctr_mse=0.021977 | Val conf=0.496
[Epoch 0640] beta=0.001 gamma=0.001 | Train total=-0.0188 | Val total=-0.0196 | Val ctr_nll=-23.9769 | Val ctr_mse=0.019808 | Val conf=0.494
[Epoch 0641] beta=0.001 gamma=0.001 | Train total=-0.0201 | Val total=-0.0181 | Val ctr_nll=-22.3090 | Val ctr_mse=0.020748 | Val conf=0.479
[Epoch 0642] beta=0.001 gamma=0.001 | Train total=-0.0190 | Val total=-0.0165 | Val ctr_nll=-20.9589 | Val ctr_mse=0.020789 | Val conf=0.477
[Epoch 0643] beta=0.001 gamma=0.001 | Train total=-0.0178 | Val total=-0.0109 | Val ctr_nll=-15.1966 | Val ctr_mse=0.023514 | Val conf=0.459
[Epoch 0644] beta=0.001 gamma=0.001 | Train total=-0.0143 | Val total=-0.0160 | Val ctr_nll=-20.2990 | Val ctr_mse=0.024806 | Val conf=0.489
[Epoch 0645] beta=0.001 gamma=0.001 | Train total=-0.0173 | Val total=-0.0169 | Val ctr_nll=-21.2233 | Val ctr_mse=0.021758 | Val conf=0.474
[Epoch 0646] beta=0.001 gamma=0.001 | Train total=-0.0186 | Val total=-0.0126 | Val ctr_nll=-16.7725 | Val ctr_mse=0.028899 | Val conf=0.485
[Epoch 0647] beta=0.001 gamma=0.001 | Train total=-0.0183 | Val total=-0.0179 | Val ctr_nll=-22.1727 | Val ctr_mse=0.022370 | Val conf=0.519
[Epoch 0648] beta=0.001 gamma=0.001 | Train total=-0.0194 | Val total=-0.0182 | Val ctr_nll=-22.5579 | Val ctr_mse=0.025039 | Val conf=0.503
[Epoch 0649] beta=0.001 gamma=0.001 | Train total=-0.0200 | Val total=-0.0173 | Val ctr_nll=-21.8425 | Val ctr_mse=0.021876 | Val conf=0.488
[Epoch 0650] beta=0.001 gamma=0.001 | Train total=-0.0191 | Val total=-0.0196 | Val ctr_nll=-23.8939 | Val ctr_mse=0.020619 | Val conf=0.499
[Epoch 0651] beta=0.001 gamma=0.001 | Train total=-0.0197 | Val total=-0.0195 | Val ctr_nll=-23.8998 | Val ctr_mse=0.020824 | Val conf=0.496
[Epoch 0652] beta=0.001 gamma=0.001 | Train total=-0.0209 | Val total=-0.0184 | Val ctr_nll=-22.7516 | Val ctr_mse=0.020304 | Val conf=0.459
[Epoch 0653] beta=0.001 gamma=0.001 | Train total=-0.0210 | Val total=-0.0210 | Val ctr_nll=-25.5538 | Val ctr_mse=0.019172 | Val conf=0.518
[Epoch 0654] beta=0.001 gamma=0.001 | Train total=-0.0194 | Val total=-0.0157 | Val ctr_nll=-20.1206 | Val ctr_mse=0.024636 | Val conf=0.493
[Epoch 0655] beta=0.001 gamma=0.001 | Train total=-0.0187 | Val total=-0.0180 | Val ctr_nll=-22.2608 | Val ctr_mse=0.020963 | Val conf=0.480
[Epoch 0656] beta=0.001 gamma=0.001 | Train total=-0.0191 | Val total=-0.0160 | Val ctr_nll=-20.1956 | Val ctr_mse=0.020142 | Val conf=0.477
[Epoch 0657] beta=0.001 gamma=0.001 | Train total=-0.0195 | Val total=-0.0193 | Val ctr_nll=-23.6532 | Val ctr_mse=0.020799 | Val conf=0.505
[Epoch 0658] beta=0.001 gamma=0.001 | Train total=-0.0192 | Val total=-0.0158 | Val ctr_nll=-19.9135 | Val ctr_mse=0.025249 | Val conf=0.451
[Epoch 0659] beta=0.001 gamma=0.001 | Train total=-0.0158 | Val total=-0.0137 | Val ctr_nll=-18.1993 | Val ctr_mse=0.022734 | Val conf=0.476
[Epoch 0660] beta=0.001 gamma=0.001 | Train total=-0.0184 | Val total=-0.0140 | Val ctr_nll=-18.3823 | Val ctr_mse=0.022847 | Val conf=0.492
[Epoch 0661] beta=0.001 gamma=0.001 | Train total=-0.0177 | Val total=-0.0172 | Val ctr_nll=-21.5001 | Val ctr_mse=0.021668 | Val conf=0.464
[Epoch 0662] beta=0.001 gamma=0.001 | Train total=-0.0187 | Val total=-0.0156 | Val ctr_nll=-20.2243 | Val ctr_mse=0.022762 | Val conf=0.472
[Epoch 0663] beta=0.001 gamma=0.001 | Train total=-0.0188 | Val total=-0.0192 | Val ctr_nll=-23.4632 | Val ctr_mse=0.020053 | Val conf=0.467
[Epoch 0664] beta=0.001 gamma=0.001 | Train total=-0.0203 | Val total=-0.0200 | Val ctr_nll=-24.5476 | Val ctr_mse=0.019961 | Val conf=0.524
[Epoch 0665] beta=0.001 gamma=0.001 | Train total=-0.0207 | Val total=-0.0201 | Val ctr_nll=-24.7320 | Val ctr_mse=0.019472 | Val conf=0.511
[Epoch 0666] beta=0.001 gamma=0.001 | Train total=-0.0196 | Val total=-0.0200 | Val ctr_nll=-24.3449 | Val ctr_mse=0.019265 | Val conf=0.490
[Epoch 0667] beta=0.001 gamma=0.001 | Train total=-0.0203 | Val total=-0.0184 | Val ctr_nll=-22.8169 | Val ctr_mse=0.022336 | Val conf=0.507
[Epoch 0668] beta=0.001 gamma=0.001 | Train total=-0.0200 | Val total=-0.0153 | Val ctr_nll=-19.6960 | Val ctr_mse=0.021432 | Val conf=0.502
[Epoch 0669] beta=0.001 gamma=0.001 | Train total=-0.0184 | Val total=-0.0154 | Val ctr_nll=-20.3167 | Val ctr_mse=0.022726 | Val conf=0.482
[Epoch 0670] beta=0.001 gamma=0.001 | Train total=-0.0194 | Val total=-0.0167 | Val ctr_nll=-21.1315 | Val ctr_mse=0.020677 | Val conf=0.470
[Epoch 0671] beta=0.001 gamma=0.001 | Train total=-0.0205 | Val total=-0.0211 | Val ctr_nll=-25.4176 | Val ctr_mse=0.020055 | Val conf=0.472
[Epoch 0672] beta=0.001 gamma=0.001 | Train total=-0.0214 | Val total=-0.0212 | Val ctr_nll=-25.6812 | Val ctr_mse=0.018212 | Val conf=0.490
[Epoch 0673] beta=0.001 gamma=0.001 | Train total=-0.0209 | Val total=-0.0203 | Val ctr_nll=-24.8659 | Val ctr_mse=0.020210 | Val conf=0.492
[Epoch 0674] beta=0.001 gamma=0.001 | Train total=-0.0197 | Val total=-0.0161 | Val ctr_nll=-20.7572 | Val ctr_mse=0.020537 | Val conf=0.455
[Epoch 0675] beta=0.001 gamma=0.001 | Train total=-0.0200 | Val total=-0.0214 | Val ctr_nll=-25.7339 | Val ctr_mse=0.019309 | Val conf=0.488
[Epoch 0676] beta=0.001 gamma=0.001 | Train total=-0.0216 | Val total=-0.0198 | Val ctr_nll=-24.2550 | Val ctr_mse=0.017671 | Val conf=0.488
[Epoch 0677] beta=0.001 gamma=0.001 | Train total=-0.0217 | Val total=-0.0208 | Val ctr_nll=-25.2272 | Val ctr_mse=0.021299 | Val conf=0.470
[Epoch 0678] beta=0.001 gamma=0.001 | Train total=-0.0208 | Val total=-0.0127 | Val ctr_nll=-16.9175 | Val ctr_mse=0.023993 | Val conf=0.446
[Epoch 0679] beta=0.001 gamma=0.001 | Train total=-0.0149 | Val total=-0.0147 | Val ctr_nll=-19.3298 | Val ctr_mse=0.019690 | Val conf=0.495
[Epoch 0680] beta=0.001 gamma=0.001 | Train total=-0.0173 | Val total=-0.0172 | Val ctr_nll=-21.3500 | Val ctr_mse=0.022137 | Val conf=0.474
[Epoch 0681] beta=0.001 gamma=0.001 | Train total=-0.0195 | Val total=-0.0183 | Val ctr_nll=-22.4632 | Val ctr_mse=0.020558 | Val conf=0.484
[Epoch 0682] beta=0.001 gamma=0.001 | Train total=-0.0194 | Val total=-0.0169 | Val ctr_nll=-21.2446 | Val ctr_mse=0.021660 | Val conf=0.473
[Epoch 0683] beta=0.001 gamma=0.001 | Train total=-0.0181 | Val total=-0.0155 | Val ctr_nll=-19.6536 | Val ctr_mse=0.021920 | Val conf=0.431
[Epoch 0684] beta=0.001 gamma=0.001 | Train total=-0.0202 | Val total=-0.0209 | Val ctr_nll=-25.2167 | Val ctr_mse=0.018873 | Val conf=0.454
[Epoch 0685] beta=0.001 gamma=0.001 | Train total=-0.0218 | Val total=-0.0211 | Val ctr_nll=-25.3309 | Val ctr_mse=0.018499 | Val conf=0.469
[Epoch 0686] beta=0.001 gamma=0.001 | Train total=-0.0219 | Val total=-0.0194 | Val ctr_nll=-23.8306 | Val ctr_mse=0.020271 | Val conf=0.488
[Epoch 0687] beta=0.001 gamma=0.001 | Train total=-0.0213 | Val total=-0.0206 | Val ctr_nll=-25.1018 | Val ctr_mse=0.018589 | Val conf=0.474
[Epoch 0688] beta=0.001 gamma=0.001 | Train total=-0.0206 | Val total=-0.0174 | Val ctr_nll=-21.7655 | Val ctr_mse=0.020498 | Val conf=0.464
[Epoch 0689] beta=0.001 gamma=0.001 | Train total=-0.0172 | Val total=-0.0192 | Val ctr_nll=-23.4877 | Val ctr_mse=0.019061 | Val conf=0.456
[Epoch 0690] beta=0.001 gamma=0.001 | Train total=-0.0201 | Val total=-0.0203 | Val ctr_nll=-24.6337 | Val ctr_mse=0.019013 | Val conf=0.467
[Epoch 0691] beta=0.001 gamma=0.001 | Train total=-0.0217 | Val total=-0.0219 | Val ctr_nll=-26.1366 | Val ctr_mse=0.018288 | Val conf=0.468
[Epoch 0692] beta=0.001 gamma=0.001 | Train total=-0.0225 | Val total=-0.0212 | Val ctr_nll=-25.7195 | Val ctr_mse=0.019066 | Val conf=0.475
[Epoch 0693] beta=0.001 gamma=0.001 | Train total=-0.0221 | Val total=-0.0223 | Val ctr_nll=-26.7950 | Val ctr_mse=0.018767 | Val conf=0.497
[Epoch 0694] beta=0.001 gamma=0.001 | Train total=-0.0211 | Val total=-0.0193 | Val ctr_nll=-23.7816 | Val ctr_mse=0.020211 | Val conf=0.480
[Epoch 0695] beta=0.001 gamma=0.001 | Train total=-0.0206 | Val total=-0.0196 | Val ctr_nll=-23.9967 | Val ctr_mse=0.021694 | Val conf=0.469
[Epoch 0696] beta=0.001 gamma=0.001 | Train total=-0.0198 | Val total=-0.0209 | Val ctr_nll=-25.2918 | Val ctr_mse=0.018137 | Val conf=0.485
[Epoch 0697] beta=0.001 gamma=0.001 | Train total=-0.0216 | Val total=-0.0221 | Val ctr_nll=-26.4779 | Val ctr_mse=0.018247 | Val conf=0.480
[Epoch 0698] beta=0.001 gamma=0.001 | Train total=-0.0226 | Val total=-0.0168 | Val ctr_nll=-21.4724 | Val ctr_mse=0.018866 | Val conf=0.492
[Epoch 0699] beta=0.001 gamma=0.001 | Train total=-0.0175 | Val total=-0.0173 | Val ctr_nll=-21.6353 | Val ctr_mse=0.021477 | Val conf=0.456
[Epoch 0700] beta=0.001 gamma=0.001 | Train total=-0.0184 | Val total=-0.0166 | Val ctr_nll=-20.9323 | Val ctr_mse=0.022608 | Val conf=0.427
[Epoch 0701] beta=0.001 gamma=0.001 | Train total=-0.0178 | Val total=-0.0181 | Val ctr_nll=-22.4292 | Val ctr_mse=0.019608 | Val conf=0.481
[Epoch 0702] beta=0.001 gamma=0.001 | Train total=-0.0201 | Val total=-0.0199 | Val ctr_nll=-24.0745 | Val ctr_mse=0.019827 | Val conf=0.454
[Epoch 0703] beta=0.001 gamma=0.001 | Train total=-0.0206 | Val total=-0.0205 | Val ctr_nll=-24.6761 | Val ctr_mse=0.018610 | Val conf=0.449
[Epoch 0704] beta=0.001 gamma=0.001 | Train total=-0.0205 | Val total=-0.0201 | Val ctr_nll=-24.4256 | Val ctr_mse=0.022419 | Val conf=0.475
[Epoch 0705] beta=0.001 gamma=0.001 | Train total=-0.0219 | Val total=-0.0212 | Val ctr_nll=-25.6734 | Val ctr_mse=0.017975 | Val conf=0.479
[Epoch 0706] beta=0.001 gamma=0.001 | Train total=-0.0225 | Val total=-0.0231 | Val ctr_nll=-27.4940 | Val ctr_mse=0.018228 | Val conf=0.472
[Epoch 0707] beta=0.001 gamma=0.001 | Train total=-0.0232 | Val total=-0.0225 | Val ctr_nll=-27.1283 | Val ctr_mse=0.018119 | Val conf=0.487
[Epoch 0708] beta=0.001 gamma=0.001 | Train total=-0.0208 | Val total=-0.0212 | Val ctr_nll=-25.7086 | Val ctr_mse=0.019214 | Val conf=0.479
[Epoch 0709] beta=0.001 gamma=0.001 | Train total=-0.0206 | Val total=-0.0181 | Val ctr_nll=-22.5850 | Val ctr_mse=0.019836 | Val conf=0.470
[Epoch 0710] beta=0.001 gamma=0.001 | Train total=-0.0202 | Val total=-0.0211 | Val ctr_nll=-25.3748 | Val ctr_mse=0.020689 | Val conf=0.474
[Epoch 0711] beta=0.001 gamma=0.001 | Train total=-0.0214 | Val total=-0.0174 | Val ctr_nll=-21.5275 | Val ctr_mse=0.020403 | Val conf=0.457
[Epoch 0712] beta=0.001 gamma=0.001 | Train total=-0.0176 | Val total=-0.0160 | Val ctr_nll=-20.2724 | Val ctr_mse=0.020804 | Val conf=0.469
[Epoch 0713] beta=0.001 gamma=0.001 | Train total=-0.0157 | Val total=-0.0170 | Val ctr_nll=-21.0278 | Val ctr_mse=0.021285 | Val conf=0.450
[Epoch 0714] beta=0.001 gamma=0.001 | Train total=-0.0192 | Val total=-0.0193 | Val ctr_nll=-23.4592 | Val ctr_mse=0.018982 | Val conf=0.449
[Epoch 0715] beta=0.001 gamma=0.001 | Train total=-0.0202 | Val total=-0.0205 | Val ctr_nll=-24.6787 | Val ctr_mse=0.019675 | Val conf=0.451
[Epoch 0716] beta=0.001 gamma=0.001 | Train total=-0.0219 | Val total=-0.0205 | Val ctr_nll=-24.8645 | Val ctr_mse=0.019557 | Val conf=0.482
[Epoch 0717] beta=0.001 gamma=0.001 | Train total=-0.0218 | Val total=-0.0214 | Val ctr_nll=-25.8719 | Val ctr_mse=0.018421 | Val conf=0.509
[Epoch 0718] beta=0.001 gamma=0.001 | Train total=-0.0217 | Val total=-0.0222 | Val ctr_nll=-26.4508 | Val ctr_mse=0.019325 | Val conf=0.481
[Epoch 0719] beta=0.001 gamma=0.001 | Train total=-0.0220 | Val total=-0.0210 | Val ctr_nll=-25.2670 | Val ctr_mse=0.018493 | Val conf=0.471
[Epoch 0720] beta=0.001 gamma=0.001 | Train total=-0.0221 | Val total=-0.0223 | Val ctr_nll=-26.8471 | Val ctr_mse=0.016407 | Val conf=0.474
[Epoch 0721] beta=0.001 gamma=0.001 | Train total=-0.0221 | Val total=-0.0208 | Val ctr_nll=-25.1412 | Val ctr_mse=0.019228 | Val conf=0.458
[Epoch 0722] beta=0.001 gamma=0.001 | Train total=-0.0222 | Val total=-0.0157 | Val ctr_nll=-19.9775 | Val ctr_mse=0.023335 | Val conf=0.465
[Epoch 0723] beta=0.001 gamma=0.001 | Train total=-0.0174 | Val total=-0.0140 | Val ctr_nll=-18.6259 | Val ctr_mse=0.021801 | Val conf=0.474
[Epoch 0724] beta=0.001 gamma=0.001 | Train total=-0.0184 | Val total=-0.0186 | Val ctr_nll=-22.7157 | Val ctr_mse=0.021274 | Val conf=0.463
[Epoch 0725] beta=0.001 gamma=0.001 | Train total=-0.0209 | Val total=-0.0211 | Val ctr_nll=-25.2868 | Val ctr_mse=0.018456 | Val conf=0.478
[Epoch 0726] beta=0.001 gamma=0.001 | Train total=-0.0212 | Val total=-0.0201 | Val ctr_nll=-24.3151 | Val ctr_mse=0.017812 | Val conf=0.466
[Epoch 0727] beta=0.001 gamma=0.001 | Train total=-0.0219 | Val total=-0.0227 | Val ctr_nll=-27.0449 | Val ctr_mse=0.017851 | Val conf=0.477
[Epoch 0728] beta=0.001 gamma=0.001 | Train total=-0.0229 | Val total=-0.0220 | Val ctr_nll=-26.3046 | Val ctr_mse=0.018287 | Val conf=0.451
[Epoch 0729] beta=0.001 gamma=0.001 | Train total=-0.0231 | Val total=-0.0223 | Val ctr_nll=-26.8275 | Val ctr_mse=0.017085 | Val conf=0.479
[Epoch 0730] beta=0.001 gamma=0.001 | Train total=-0.0204 | Val total=-0.0223 | Val ctr_nll=-26.6850 | Val ctr_mse=0.018104 | Val conf=0.467
[Epoch 0731] beta=0.001 gamma=0.001 | Train total=-0.0211 | Val total=-0.0203 | Val ctr_nll=-24.7808 | Val ctr_mse=0.018618 | Val conf=0.482
[Epoch 0732] beta=0.001 gamma=0.001 | Train total=-0.0217 | Val total=-0.0215 | Val ctr_nll=-25.9823 | Val ctr_mse=0.018523 | Val conf=0.467
[Epoch 0733] beta=0.001 gamma=0.001 | Train total=-0.0215 | Val total=-0.0183 | Val ctr_nll=-22.8420 | Val ctr_mse=0.020592 | Val conf=0.437
[Epoch 0734] beta=0.001 gamma=0.001 | Train total=-0.0189 | Val total=-0.0180 | Val ctr_nll=-22.5249 | Val ctr_mse=0.020325 | Val conf=0.450
[Epoch 0735] beta=0.001 gamma=0.001 | Train total=-0.0198 | Val total=-0.0186 | Val ctr_nll=-22.9835 | Val ctr_mse=0.021563 | Val conf=0.468
[Epoch 0736] beta=0.001 gamma=0.001 | Train total=-0.0176 | Val total=-0.0146 | Val ctr_nll=-18.9242 | Val ctr_mse=0.022330 | Val conf=0.438
[Epoch 0737] beta=0.001 gamma=0.001 | Train total=-0.0197 | Val total=-0.0185 | Val ctr_nll=-23.3733 | Val ctr_mse=0.023443 | Val conf=0.473
[Epoch 0738] beta=0.001 gamma=0.001 | Train total=-0.0213 | Val total=-0.0201 | Val ctr_nll=-24.4099 | Val ctr_mse=0.018106 | Val conf=0.473
[Epoch 0739] beta=0.001 gamma=0.001 | Train total=-0.0224 | Val total=-0.0222 | Val ctr_nll=-26.6493 | Val ctr_mse=0.019107 | Val conf=0.475
[Epoch 0740] beta=0.001 gamma=0.001 | Train total=-0.0233 | Val total=-0.0227 | Val ctr_nll=-27.1897 | Val ctr_mse=0.018959 | Val conf=0.514
[Epoch 0741] beta=0.001 gamma=0.001 | Train total=-0.0228 | Val total=-0.0206 | Val ctr_nll=-25.2257 | Val ctr_mse=0.018968 | Val conf=0.487
[Epoch 0742] beta=0.001 gamma=0.001 | Train total=-0.0187 | Val total=-0.0193 | Val ctr_nll=-23.6050 | Val ctr_mse=0.018745 | Val conf=0.462
[Epoch 0743] beta=0.001 gamma=0.001 | Train total=-0.0203 | Val total=-0.0167 | Val ctr_nll=-21.1705 | Val ctr_mse=0.018258 | Val conf=0.460
[Epoch 0744] beta=0.001 gamma=0.001 | Train total=-0.0209 | Val total=-0.0188 | Val ctr_nll=-23.2136 | Val ctr_mse=0.019411 | Val conf=0.488
[Epoch 0745] beta=0.001 gamma=0.001 | Train total=-0.0213 | Val total=-0.0219 | Val ctr_nll=-26.1265 | Val ctr_mse=0.019065 | Val conf=0.506
[Epoch 0746] beta=0.001 gamma=0.001 | Train total=-0.0210 | Val total=-0.0229 | Val ctr_nll=-27.2053 | Val ctr_mse=0.018727 | Val conf=0.482
[Epoch 0747] beta=0.001 gamma=0.001 | Train total=-0.0219 | Val total=-0.0187 | Val ctr_nll=-23.1083 | Val ctr_mse=0.020433 | Val conf=0.464
[Epoch 0748] beta=0.001 gamma=0.001 | Train total=-0.0223 | Val total=-0.0230 | Val ctr_nll=-27.4290 | Val ctr_mse=0.017551 | Val conf=0.492
[Epoch 0749] beta=0.001 gamma=0.001 | Train total=-0.0231 | Val total=-0.0220 | Val ctr_nll=-26.5650 | Val ctr_mse=0.017788 | Val conf=0.487
[Epoch 0750] beta=0.001 gamma=0.001 | Train total=-0.0232 | Val total=-0.0215 | Val ctr_nll=-25.9284 | Val ctr_mse=0.019691 | Val conf=0.471
[Epoch 0751] beta=0.001 gamma=0.001 | Train total=-0.0221 | Val total=-0.0204 | Val ctr_nll=-24.7404 | Val ctr_mse=0.018491 | Val conf=0.458
[Epoch 0752] beta=0.001 gamma=0.001 | Train total=-0.0222 | Val total=-0.0210 | Val ctr_nll=-25.4816 | Val ctr_mse=0.017633 | Val conf=0.482
[Epoch 0753] beta=0.001 gamma=0.001 | Train total=-0.0234 | Val total=-0.0245 | Val ctr_nll=-29.0007 | Val ctr_mse=0.016928 | Val conf=0.487
[Epoch 0754] beta=0.001 gamma=0.001 | Train total=-0.0244 | Val total=-0.0188 | Val ctr_nll=-23.4913 | Val ctr_mse=0.018961 | Val conf=0.498
