开始 sweep 相场物理参数（并行=1）
Sweep: phy_weight × phy_alpha × phy_beta
启动任务: phy_weight=0.001 phy_alpha=0.5 phy_beta=0.5
Experiment name: VAEv12_MDN_lat=16_K=16_beta=0.001_warm=0.1_gamma=0.001_warm=0.1_phy_weight=0.001_phy_alpha=0.5_phy_beta=0.5scale=0.5_time=20260123_095021
[Epoch 0032] beta=0.000 gamma=0.000 | Train total=0.0052 | Val total=0.0103 | Val ctr_nll=13.3362 | Val ctr_mse=0.249923 | Val conf=0.182
[Epoch 0033] beta=0.000 gamma=0.000 | Train total=0.0052 | Val total=0.0083 | Val ctr_nll=11.8807 | Val ctr_mse=0.214162 | Val conf=0.180
[Epoch 0034] beta=0.000 gamma=0.000 | Train total=0.0051 | Val total=0.0076 | Val ctr_nll=10.9589 | Val ctr_mse=0.181785 | Val conf=0.182
[Epoch 0035] beta=0.000 gamma=0.000 | Train total=0.0052 | Val total=0.0068 | Val ctr_nll=10.4019 | Val ctr_mse=0.151765 | Val conf=0.185
[Epoch 0036] beta=0.000 gamma=0.000 | Train total=0.0054 | Val total=0.0082 | Val ctr_nll=10.3235 | Val ctr_mse=0.136178 | Val conf=0.196
[Epoch 0037] beta=0.000 gamma=0.000 | Train total=0.0053 | Val total=0.0065 | Val ctr_nll=9.5626 | Val ctr_mse=0.130439 | Val conf=0.206
[Epoch 0038] beta=0.000 gamma=0.000 | Train total=0.0053 | Val total=0.0060 | Val ctr_nll=9.0584 | Val ctr_mse=0.142629 | Val conf=0.199
[Epoch 0039] beta=0.000 gamma=0.000 | Train total=0.0055 | Val total=0.0061 | Val ctr_nll=8.7210 | Val ctr_mse=0.116913 | Val conf=0.194
[Epoch 0040] beta=0.000 gamma=0.000 | Train total=0.0055 | Val total=0.0059 | Val ctr_nll=8.0227 | Val ctr_mse=0.110250 | Val conf=0.202
[Epoch 0041] beta=0.000 gamma=0.000 | Train total=0.0055 | Val total=0.0058 | Val ctr_nll=7.5978 | Val ctr_mse=0.109627 | Val conf=0.220
[Epoch 0042] beta=0.000 gamma=0.000 | Train total=0.0055 | Val total=0.0051 | Val ctr_nll=7.1119 | Val ctr_mse=0.099184 | Val conf=0.213
[Epoch 0043] beta=0.000 gamma=0.000 | Train total=0.0055 | Val total=0.0057 | Val ctr_nll=7.1033 | Val ctr_mse=0.096289 | Val conf=0.218
[Epoch 0044] beta=0.000 gamma=0.000 | Train total=0.0056 | Val total=0.0054 | Val ctr_nll=6.4280 | Val ctr_mse=0.091831 | Val conf=0.224
[Epoch 0045] beta=0.000 gamma=0.000 | Train total=0.0058 | Val total=0.0054 | Val ctr_nll=6.1995 | Val ctr_mse=0.089604 | Val conf=0.236
[Epoch 0046] beta=0.000 gamma=0.000 | Train total=0.0058 | Val total=0.0050 | Val ctr_nll=5.5034 | Val ctr_mse=0.084992 | Val conf=0.238
[Epoch 0047] beta=0.000 gamma=0.000 | Train total=0.0058 | Val total=0.0053 | Val ctr_nll=5.7305 | Val ctr_mse=0.086259 | Val conf=0.251
[Epoch 0048] beta=0.000 gamma=0.000 | Train total=0.0059 | Val total=0.0048 | Val ctr_nll=5.2071 | Val ctr_mse=0.081968 | Val conf=0.239
[Epoch 0049] beta=0.000 gamma=0.000 | Train total=0.0058 | Val total=0.0058 | Val ctr_nll=5.9582 | Val ctr_mse=0.091626 | Val conf=0.240
[Epoch 0050] beta=0.000 gamma=0.000 | Train total=0.0058 | Val total=0.0053 | Val ctr_nll=5.2488 | Val ctr_mse=0.085889 | Val conf=0.232
[Epoch 0051] beta=0.001 gamma=0.001 | Train total=0.0060 | Val total=0.0055 | Val ctr_nll=5.2518 | Val ctr_mse=0.086739 | Val conf=0.243
[Epoch 0052] beta=0.001 gamma=0.001 | Train total=0.0059 | Val total=0.0051 | Val ctr_nll=4.7772 | Val ctr_mse=0.082748 | Val conf=0.237
[Epoch 0053] beta=0.001 gamma=0.001 | Train total=0.0059 | Val total=0.0047 | Val ctr_nll=4.1613 | Val ctr_mse=0.078972 | Val conf=0.273
[Epoch 0054] beta=0.001 gamma=0.001 | Train total=0.0059 | Val total=0.0046 | Val ctr_nll=3.8471 | Val ctr_mse=0.077398 | Val conf=0.282
[Epoch 0055] beta=0.001 gamma=0.001 | Train total=0.0060 | Val total=0.0048 | Val ctr_nll=4.1308 | Val ctr_mse=0.077756 | Val conf=0.249
[Epoch 0056] beta=0.001 gamma=0.001 | Train total=0.0060 | Val total=0.0043 | Val ctr_nll=3.2853 | Val ctr_mse=0.073376 | Val conf=0.284
[Epoch 0057] beta=0.001 gamma=0.001 | Train total=0.0060 | Val total=0.0046 | Val ctr_nll=3.6911 | Val ctr_mse=0.073238 | Val conf=0.263
